Service ID,Service Name,Colour RGB,Enquiries Contact - phone,Enquiries Contact - email,Website,CM Listing Link,Caseload (e.g. adults/children),Service,Notes
ACT,Access to Communication and Technology (ACT),#0000ff,0121 466 3028 (Referrals),ACT.Duty@bhamcommunity.nhs.uk,http://www.bhamcommunity.nhs.uk/patients-public/rehabilitation/act/,http://www.communicationmatters.org.uk/contact-assessment-service/access-communication-and-technology,All,AAC; EC,Also specialised EC provider to West Midlands region
ACE-N,ACE Centre North,#ffff99,0800 080 3115,enquiries@acecentre.org.uk,http://acecentre.org.uk ,http://www.communicationmatters.org.uk/contact-assessment-service/ace-centre-oldham,All,AAC,
ACE-S,ACE Centre South,#ffff1a,0800 080 3115,enquiries@acecentre.org.uk ,http://acecentre.org.uk ,http://www.communicationmatters.org.uk/contact-assessment-service/ace-centre-oxford,All,AAC,
CLCH,Assistive Communication Service - CLCH (ACS),#ffccff,0208 102 4067, Nikky.steiner@nhs.net,http://www.clch.nhs.uk/services/assistive-communication-service.aspx,http://www.communicationmatters.org.uk/contact-assessment-service/assistive-communication-service,All,AAC,
GOSH,Augmentative Communication Service - GOSH,#ffcce0,0207 405 9200 x1143,acsadmin@gosh.nhs.uk,http://www.gosh.nhs.uk/medical-information/clinical-specialties/neurodisability-information-parents-and-visitors/clinics-and-services/augmentative-communication-service,http://www.communicationmatters.org.uk/contact-assessment-service/wolfson-neurodisability-team-communication-service,Children,AAC,Children only (0-16).
BAT,Barnsley Assistive Technology Team,#cc00cc,01226 432159,barnsley.at@nhs.net,http://www.barnsleyhospital.nhs.uk/assistive-technology/,http://www.communicationmatters.org.uk/contact-assessment-service/barnsley-assistive-technology-service,All,AAC; EC,Also specialised EC provider to region.
BCAS,Bristol Communication Aid Service (BCAS),#99003d,0117 414 5850,cacadmin@nbt.nhs.uk,http://www.nbt.nhs.uk/bcas ,http://www.communicationmatters.org.uk/contact-assessment-service/bristol-communication-aid-service,All,AAC,
CCAS,Chailey Communication Aid Service (CCAS),#ff6666,01825 721506,SC-TR.ChaileyAACservice@nhs.net,http://www.sussexcommunity.nhs.uk/services/chailey-communication-aidservice.htm,http://www.communicationmatters.org.uk/contact-assessment-service/chailey-clinical-services,All,AAC,
CASEE,Communication Aid Service East of England (CASEE),#800000,01223 349401,enquiries.casee@nhs.net,n/a,http://www.communicationmatters.org.uk/contact-assessment-service/east-of-england,All,AAC,
COMPASS,Compass Assistive and Rehabilitation Technology Service,#ffd966,020 8780 4500,compass@rhn.org.uk,https://www.rhn.org.uk/what-makes-us-special/services/compass/,http://www.communicationmatters.org.uk/contact-assessment-service/compass-assistive-technology-service,Adults,AAC,
EATS,Electronic Assistive Technology Service (EATS),#cc9900,01522 697282,eats.lincoln@nhs.net,http://www.eatslincoln.co.uk/ (temporary),http://www.communicationmatters.org.uk/contact-assessment-service/lincolnshire-adults-aac-service,All,AAC; EC,
GSTT,Guy's and St Thomas' Assistive Communication Service (GSTT ACS),#664d00,0203 049 7751,gst-tr.acs-hub@nhs.net,http://www.guysandstthomas.nhs.uk/our-services/community-assistive-communication-service/overview.aspx,http://www.communicationmatters.org.uk/contact-assessment-service/assistive-technology-team,All,AAC,
KM-CAT,Kent and Medway Communication and Assistive Technology Service (KM CAT)- Adult Team,#c6ffb3,1227864083,acat.service@nhs.net,http://www.ekhuft.nhs.uk/acat,http://www.communicationmatters.org.uk/contact-assessment-service/km-cat-adults,Adults,AAC,
KM-CAT-CYP,Kent and Medway Communication and Assistive Technology Service (KM CAT)- CYP Team,#00ff00,01233 629859,kcht.cat-admin@nhs.net,http://www.kelsi.org.uk,http://www.communicationmatters.org.uk/contact-assessment-service/km-cat-children-and-young-people,Children & young people,AAC,
RCAS,Regional Communication Aid Service (RCAS),#1a6600,,,http://www.communicationmatters.org.uk/contact-assessment-service/regional-communication-aid-service,,All,AAC,
TASCC,,,,,http://www.abernet.org/tasscc/,,Adults,,
SCTCI,Scottish Centre of Technology for the Communication Impaired,,,,,,Adults,,
KEYCOMM,Lothian Communication Technology Service,,,,,,Adults,,
FACCT,Fife AAC,,,,,https://www.fifedirect.org.uk,Adults,,
CALL,CALL Scotland,,,,,,Children,,
AYRSHIRE,Ayrshire & Arran AAC Resource,,,,,,Adults,,
NCEAT,National Centre for Electronic Assistive Technology (NCEAT),,,,http://www.cardiffandvaleuhb.wales.nhs.uk/electronic-assistive-technology,http://www.communicationmatters.org.uk/contact-assessment-service/communication-aid-centre-alac,All,,
BECAS,Belfast Communication Advice Centre,,,,,http://www.communicationmatters.org.uk/contact-assessment-service/communication-advice-centre,,,
