Service ID,CCG17CD
aberdeen,
bednluton,E38000010
bednluton,E38000102
eaberks,E38000224
weberks,E38000114
buckingh,E38000207
milkeyn,E38000107
huntingd,E38000026
petebor,E38000026
halton,E38000068
easchesh,E38000056
stockpor,E38000174
wechesh,E38000196
wepenin,E38000182
warringn,E38000194
hartlepl,E38000075
cambpen,E38000089
musgreg,E38000066
belfstrn,E38000154
cntydurm,E38000042
ctyddarl,E38000116
nthdurm,E38000217
carlcumb,E38000215
derbshmul,E38000115
derbman,E38000169
plymthm,E38000152
exendev,E38000129
dorseacn,E38000045
dorsunf,E38000045
easushas,E38000213
brihove,E38000021
eassusdgn,E38000083
huleardn,E38000085
ednlthian,
wlchless,E38000192
ntheaecl,E38000106
havrng,E38000077
mdessx,E38000106
rdbrdge,E38000138
sthndesx,E38000117
shwesthr,E38000197
glsgwsct,
chlgloush,E38000062
wgnleigh,E38000205
bltngm,E38000016
rchdold,E38000080
salfman,E38000143
altrman,E38000217
bsngham,E38000118
ptsmhmp,E38000137
wnchhmp,E38000013
herfherf,E38000049
hlstessx,E38000197
herfdshr,E38000049
invrnshgl,
nwislew,E38000087
bcknkent,E38000124
cantkent,E38000199
bexlyknt,E38000011
knmdart,E38000104
knmgilln,E38000156
knmashfd,E38000002
knmaylsm,E38000002
knmmaid,E38000207
chrlyman,E38000034
prestman,E38000050
sthptlanc,E38000170
sthskems,E38000170
leicleicsts,E38000097
nthlincol,E38000099
grmnthlin,E38000100
linclincon,E38000100
finchlndn,E38000005
camdnldn,E38000027
hcknylnd,E38000035
putnyldn,E38000202
roelondn,E38000202
farqlondn,E38000023
stratlond,E38000113
hartottlnd,E38000031
hrtottlon,E38000202
lonlondn,E38000186
grenlond,E38000066
sthseflivp,E38000161
waltlivpl,E38000068
livpmersy,E38000101
sthelmer,E38000056
knkwlivm,E38000128
enflndon,E38000057
hilhmidd,E38000082
harromid,E38000074
hounmidd,E38000084
breneami,E38000020
knglynofk,E38000203
nrchnorf,E38000218
gtyarnrfk,E38000063
wrexntwl,E38000196
nthallyks,E38000052
harrgnyks,E38000073
nyorknyo,E38000188
scrbnthyk,E38000145
kettnorth,E38000104
nthunort,E38000130
nottnottn,E38000132
mannottn,E38000103
oxfoxfds,E38000136
shrewshp,E38000147
carsglam,E38000056
donsthyk,E38000022
rthstyork,E38000141
sffstyork,E38000146
canstffds,E38000153
clifstffds,E38000126
wsfbsted,E38000204
esfipswsf,E38000086
leathsrry,E38000128
crydsurry,E38000040
woksurry,E38000178
bognwssx,E38000083
horwessx,E38000083
worbrssx,E38000213
taysdnde,E38000182
steemidd,E38000162
sundtyne,E38000176
gatetyne,E38000212
newctyne,E38000212
stysthshld,E38000127
nttynside,E38000127
warwarw,E38000164
nthwarw,E38000164
covwesm,E38000038
sandwmid,E38000144
solihlwm,E38000149
dudwmd,E38000046
walsllwm,E38000191
wolwmd,E38000210
birmwmd,E38000012
airwyork,E38000001
bradwyor,E38000018
caldhawy,E38000064
leedwyks,E38000096
wakleeds,E38000190
wiltshre,E38000206
swindwre,E38000181
wyworce,E38000166
wirrlmsy,E38000208
guilfwlsry,E38000214
nthteestk,E38000075
bsthighwd,E38000022
aberdeen,
bednluton,E38000102
eaberks,E38000224
weberks,E38000114
buckingh,E38000207
milkeyn,E38000107
huntingd,E38000026
petebor,E38000026
halton,E38000068
easchesh,E38000056
stockpor,E38000174
wechesh,E38000196
wepenin,E38000182
warringn,E38000194
hartlepl,E38000075
cambpen,E38000089
musgreg,E38000066
belfstrn,E38000154
cntydurm,E38000042
ctyddarl,E38000116
nthdurm,E38000217
carlcumb,E38000215
derbshmul,E38000115
derbman,E38000169
plymthm,E38000152
exendev,E38000129
dorseacn,E38000045
dorsunf,E38000045
easushas,E38000213
brihove,E38000021
eassusdgn,E38000083
huleardn,E38000085
ednlthian,
wlchless,E38000192
ntheaecl,E38000106
havrng,E38000077
mdessx,E38000106
rdbrdge,E38000138
sthndesx,E38000117
shwesthr,E38000197
glsgwsct,
chlgloush,E38000062
wgnleigh,E38000205
bltngm,E38000016
rchdold,E38000080
salfman,E38000143
altrman,E38000217
bsngham,E38000118
ptsmhmp,E38000137
wnchhmp,E38000013
herfherf,E38000049
hlstessx,E38000197
herfdshr,E38000049
invrnshgl,
nwislew,E38000087
bcknkent,E38000124
cantkent,E38000199
bexlyknt,E38000011
knmdart,E38000104
knmgilln,E38000156
knmashfd,E38000002
knmaylsm,E38000002
knmmaid,E38000207
chrlyman,E38000034
prestman,E38000050
sthptlanc,E38000170
sthskems,E38000170
leicleicsts,E38000097
nthlincol,E38000099
grmnthlin,E38000100
linclincon,E38000100
finchlndn,E38000005
camdnldn,E38000027
hcknylnd,E38000035
putnyldn,E38000202
