Service ID,CCG17CD,Service Name,postcode,description,Address,Enquiries Contact - phone,Fax,Enquiries Contact - email,URL,Area,Area2
aberdeen,,Aberdeen Mobility and Rehabilitation Services,AB15 6LS,Address: Woodend Hopsital Eday Road   Aberdeen City of Aberdeen<br>Post Code: AB15 6LS<br>Main Telephone: 01224 556840<br>Main Fax: 01224 556842<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: NHS Grampian<br>Commissioner / CCG: NHS Grampian,Woodend Hopsital Eday Road   Aberdeen City of Aberdeen,01224 556840,01224 556842,,,NHS Grampian,NHS Grampian
bednluton,E38000010,Bedfordshire and Luton Wheelchair Service,MK45 1AB,Address: The Verandah Steppingley Hospital Froghall Road STEPPINGLEY Bedford Bedfordshire<br>Post Code: MK45 1AB<br>Main Telephone: 01525 631349<br>Main Fax: 01525 631190<br>Main Email: wheelchairs.admin@sept.nhs.uk<br>Website: <br>Service Provider / NHS Trust: South Essex Partnership Trust (SEPT)<br>Commissioner / CCG: Bedfordshire CCG's and Luton CCG's,The Verandah Steppingley Hospital Froghall Road STEPPINGLEY Bedford Bedfordshire,01525 631349,01525 631190,wheelchairs.admin@sept.nhs.uk,,South Essex Partnership Trust (SEPT),Bedfordshire CCG's and Luton CCG's
bednluton,E38000102,Bedfordshire and Luton Wheelchair Service,MK45 1AB,Address: The Verandah Steppingley Hospital Froghall Road STEPPINGLEY Bedford Bedfordshire<br>Post Code: MK45 1AB<br>Main Telephone: 01525 631349<br>Main Fax: 01525 631190<br>Main Email: wheelchairs.admin@sept.nhs.uk<br>Website: <br>Service Provider / NHS Trust: South Essex Partnership Trust (SEPT)<br>Commissioner / CCG: Bedfordshire CCG's and Luton CCG's,The Verandah Steppingley Hospital Froghall Road STEPPINGLEY Bedford Bedfordshire,01525 631349,01525 631190,wheelchairs.admin@sept.nhs.uk,,South Essex Partnership Trust (SEPT),Bedfordshire CCG's and Luton CCG's
eaberks,E38000224,East Berks Wheelchair Service,SL6 6DU,Address: Mobility Centre (Wheelchair Service) St Mark's Hospital St Mark's Road  Maidenhead Berkshire<br>Post Code: SL6 6DU<br>Main Telephone: 01753 - 638647<br>Main Fax: 01753 - 638648<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Berkshire NHS<br>Commissioner / CCG: East Berks Wheelchair Service,Mobility Centre (Wheelchair Service) St Mark's Hospital St Mark's Road  Maidenhead Berkshire,01753 - 638647,01753 - 638648,,,Berkshire NHS,East Berks Wheelchair Service
weberks,E38000114,West Berkshire Wheelchair Service,RG1 5AN,Address: Royal Berkshire Hospital West Drive Buildings West Drive London Road Reading Berkshire<br>Post Code: RG1 5AN<br>Main Telephone: 0118 3226706<br>Main Fax: 0118 3227972<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Royal Berkshire NHS Foundation Trust<br>Commissioner / CCG: Berkshire CCG,Royal Berkshire Hospital West Drive Buildings West Drive London Road Reading Berkshire,0118 3226706,0118 3227972,,,Royal Berkshire NHS Foundation Trust,Berkshire CCG
buckingh,E38000207,Buckinghamshire Wheelchair Service,HP7 0JD.,Address: Amersham Hospital Whielden Street   Amersham Buckinghamshire<br>Post Code: HP7 0JD.<br>Main Telephone: 01494 734046<br>Main Fax: 01494 734746<br>Main Email: <br>Website: http://www.buckshealthcare.nhs.uk/Our%20clinical%20services/A%20to%20Z%20of%20clinical%20services/Wheelchair%20service/wheelchair-service.htm<br>Service Provider / NHS Trust: Buckinghamshire Healthcare NHS Trust<br>Commissioner / CCG: Aylesbury Vale CCG & Chiltern CCG,Amersham Hospital Whielden Street   Amersham Buckinghamshire,01494 734046,01494 734746,,http://www.buckshealthcare.nhs.uk/Our%20clinical%20services/A%20to%20Z%20of%20clinical%20services/Wheelchair%20service/wheelchair-service.htm,Buckinghamshire Healthcare NHS Trust,Aylesbury Vale CCG & Chiltern CCG
milkeyn,E38000107,Milton Keynes Wheelchair Service,MK3 6EN,Address: Equipment Services Whalley Drive Bletchley  Milton Keynes Buckinghamshire<br>Post Code: MK3 6EN<br>Main Telephone: 01908 379385<br>Main Fax: 01908 650407<br>Main Email: MKWheelchairs@mkpct.nhs.uk<br>Website: <br>Service Provider / NHS Trust: Milton Keynes Community Health Service<br>Commissioner / CCG: Milton Keynes Community Health Service,Equipment Services Whalley Drive Bletchley  Milton Keynes Buckinghamshire,01908 379385,01908 650407,MKWheelchairs@mkpct.nhs.uk,,Milton Keynes Community Health Service,Milton Keynes Community Health Service
huntingd,E38000026,Huntingdon Wheelchair Service,CB23 3UY,Address: Lower Pendrill Court   Papworth Everard Cambridge Cambridgeshire<br>Post Code: CB23 3UY<br>Main Telephone: 01480 830495<br>Main Fax: 01480 839154<br>Main Email: wheelchairservice@cambridgeshirepct.nhs.uk<br>Website: www.cambridgeshirepct.nhs.uk<br>Service Provider / NHS Trust: Cambridgeshire Community Services<br>Commissioner / CCG: Cambridgeshire Community Services,Lower Pendrill Court   Papworth Everard Cambridge Cambridgeshire,01480 830495,01480 839154,wheelchairservice@cambridgeshirepct.nhs.uk,www.cambridgeshirepct.nhs.uk,Cambridgeshire Community Services,Cambridgeshire Community Services
petebor,E38000026,Peterborough Wheelchair Services,PE3 6BD,Address: City Care Centre Thorpe Road   Peterborough Cambridgeshire<br>Post Code: PE3 6BD<br>Main Telephone: 01733 776160/776161<br>Main Fax: 01733 776351<br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Peterborough   Hospitals NHS Foundation Trust<br>Commissioner / CCG: Peterborough   Hospitals NHS Foundation Trust,City Care Centre Thorpe Road   Peterborough Cambridgeshire,01733 776160/776161,01733 776351,,,Peterborough   Hospitals NHS Foundation Trust,Peterborough   Hospitals NHS Foundation Trust
halton,E38000068,Halton Wheelchair Service,WA7 1HB,Address: Independent Living Centre Collier Street   Runcorn Cheshire<br>Post Code: WA7 1HB<br>Main Telephone: 01928 582939<br>Main Fax: <br>Main Email: <br>Website: <br>Service Provider / NHS Trust: Bridgewater Community Healthcare NHS trust<br>Commissioner / CCG: Halton CCG and St Helens CCG,Independent Living Centre Collier Street   Runcorn Cheshire,01928 582939,,,,Bridgewater Community Healthcare NHS trust,Halton CCG and St Helens CCG
